date,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,f60-69,f70-79,f80+,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80+,totalbag
2020-03-25,21,138,637,732,830,1018,554,460,452,25,113,443,610,717,1025,724,541,406,9765
2020-03-26,21,152,703,791,915,1107,598,488,485,27,121,478,659,773,1131,794,580,438,10714
2020-03-27,22,171,796,927,1040,1250,677,550,593,29,133,539,723,853,1281,921,663,534,12161
2020-03-28,23,187,870,999,1129,1364,747,594,669,29,139,581,776,932,1366,1003,728,593,13213
2020-03-29,24,204,941,1078,1234,1501,806,647,749,30,147,621,829,1005,1499,1092,805,647,14336
2020-03-30,26,222,1011,1154,1331,1633,879,707,854,32,154,656,888,1066,1611,1181,879,708,15475
2020-03-31,26,233,1060,1202,1384,1702,923,741,938,34,160,680,918,1121,1665,1228,926,754,16176
2020-04-01,28,247,1130,1273,1470,1807,959,798,1024,34,171,717,962,1174,1746,1306,980,828,17139
2020-04-02,29,263,1210,1356,1584,1938,1035,836,1112,34,184,768,1017,1241,1874,1389,1063,892,18267
2020-04-03,29,274,1264,1405,1686,2037,1081,881,1218,37,201,826,1070,1309,1985,1462,1107,954,19300
2020-04-04,30,294,1342,1482,1776,2153,1129,912,1290,38,211,883,1125,1368,2093,1526,1147,1001,20278
2020-04-05,31,303,1405,1545,1858,2240,1158,945,1385,42,223,925,1165,1427,2187,1567,1173,1044,21100
2020-04-06,32,308,1450,1584,1925,2301,1190,970,1441,46,224,953,1203,1463,2230,1592,1202,1060,21652
2020-04-07,37,323,1507,1636,1981,2366,1218,999,1522,47,235,990,1243,1507,2286,1638,1239,1104,22241
2020-04-08,39,327,1562,1663,2019,2426,1235,1022,1561,47,238,1021,1269,1546,2339,1666,1264,1131,22789
2020-04-09,39,346,1650,1768,2133,2543,1293,1072,1647,49,253,1089,1340,1622,2429,1730,1311,1173,23574
2020-04-10,41,363,1712,1826,2205,2621,1321,1104,1718,50,260,1135,1380,1660,2490,1776,1339,1219,24308
2020-04-11,41,381,1765,1872,2244,2687,1352,1133,1783,51,264,1170,1402,1702,2535,1807,1368,1255,24900
2020-04-12,43,386,1787,1900,2289,2719,1367,1149,1835,53,267,1198,1423,1738,2557,1827,1388,1285,25300
2020-04-13,45,390,1809,1915,2306,2740,1382,1162,1888,53,270,1214,1434,1750,2581,1835,1399,1317,25580
2020-04-14,45,394,1828,1931,2332,2774,1400,1173,1928,53,272,1220,1445,1761,2603,1844,1408,1335,25834
2020-04-15,46,404,1891,1991,2384,2828,1439,1193,1978,53,275,1250,1487,1796,2657,1865,1429,1361,26417
2020-04-16,47,410,1916,2012,2411,2863,1455,1207,2021,53,280,1262,1513,1819,2676,1881,1441,1375,26729
2020-04-17,48,415,1950,2041,2447,2902,1471,1219,2066,56,286,1284,1523,1836,2704,1892,1452,1399,27078
2020-04-18,48,425,1982,2081,2464,2924,1484,1232,2109,57,295,1312,1546,1852,2728,1905,1460,1414,27404
2020-04-19,49,433,2008,2115,2499,2952,1496,1240,2171,57,301,1330,1566,1872,2742,1913,1469,1438,27740
2020-04-20,49,437,2033,2133,2516,2967,1499,1246,2202,57,303,1337,1581,1887,2764,1916,1477,1451,27944
2020-04-21,50,439,2044,2144,2521,2983,1508,1252,2217,58,306,1341,1589,1891,2769,1923,1483,1459,28063
2020-04-22,52,444,2064,2159,2539,3006,1515,1258,2236,58,308,1354,1601,1904,2788,1930,1490,1476,28268
2020-04-23,52,449,2089,2170,2565,3032,1521,1262,2260,58,310,1373,1619,1914,2803,1938,1497,1498,28496
2020-04-24,52,448,2109,2184,2579,3047,1529,1269,2281,60,319,1385,1630,1923,2814,1950,1505,1507,28677
2020-04-25,53,456,2125,2200,2596,3063,1541,1273,2303,60,321,1401,1644,1932,2842,1961,1512,1521,28894
2020-04-26,52,462,2144,2220,2607,3081,1547,1274,2316,61,324,1417,1656,1940,2850,1967,1522,1529,29061
2020-04-27,53,465,2151,2229,2610,3097,1550,1279,2328,62,325,1425,1662,1948,2857,1971,1527,1533,29164
2020-04-28,53,472,2165,2240,2616,3106,1552,1284,2333,62,326,1433,1668,1960,2862,1977,1533,1540,29264
2020-04-29,55,474,2175,2251,2629,3118,1560,1288,2353,65,328,1437,1682,1970,2877,1984,1534,1547,29407
2020-04-30,59,475,2190,2265,2650,3142,1566,1291,2373,68,331,1446,1699,1980,2894,1988,1535,1556,29586
2020-05-01,59,477,2199,2275,2659,3149,1572,1296,2381,72,330,1460,1708,1989,2902,1997,1539,1562,29705
2020-05-02,59,480,2208,2284,2665,3160,1575,1299,2406,72,332,1471,1711,1991,2914,2001,1543,1565,29817
2020-05-03,59,483,2217,2289,2673,3168,1580,1299,2415,73,334,1478,1717,1999,2920,2006,1546,1569,29905
2020-05-04,61,485,2224,2295,2685,3177,1583,1299,2421,73,336,1493,1720,2001,2922,2009,1548,1569,29981
2020-05-05,62,486,2228,2298,2686,3180,1586,1299,2423,73,337,1493,1722,2003,2925,2011,1548,1569,30009
2020-05-06,63,486,2236,2305,2695,3184,1586,1300,2422,74,336,1497,1728,2010,2926,2013,1549,1570,30060
2020-05-07,63,487,2243,2311,2697,3190,1590,1306,2425,76,339,1506,1733,2012,2929,2015,1553,1571,30126
2020-05-08,67,490,2249,2319,2703,3197,1592,1306,2432,76,339,1513,1739,2020,2936,2016,1556,1577,30207
2020-05-09,69,492,2253,2325,2708,3201,1594,1304,2434,77,340,1518,1742,2023,2941,2014,1559,1577,30251
2020-05-10,68,492,2257,2328,2713,3203,1601,1307,2440,79,344,1522,1743,2024,2946,2019,1560,1578,30305
2020-05-11,70,492,2259,2329,2715,3206,1601,1307,2450,79,347,1524,1746,2030,2948,2020,1559,1581,30344
2020-05-12,70,495,2261,2335,2719,3208,1602,1308,2453,79,350,1525,1747,2031,2950,2024,1558,1584,30380
